,names,dates,latitude,longitude,categorical,quant1,quant2,quant3
9604,b'Jyll',1466852982.17,80.15789698260001,-58.3239997271,Category04,1.76953322064,26.7827572957,9147.57753334
5050,b'Cynthi',1464020425.85,5.978816243330001,26.909793171399997,Category03,0.682198737666,5.40458344941,5595.4654577
3298,b'Azareel',1459201885.38,79.03982388770001,-135.035398105,Category08,1.8487348338,-11.6310568722,3250.1012880999997
2889,b'Moishy',1475426278.71,75.7428827635,84.5861950579,Category03,0.415287827289,3.35980488148,3718.17612082
3250,b'Samontha',1455332770.78,-9.61185210429,104.885017409,Category03,0.395168432414,12.621281991400002,2466.60888743
6366,b'Evilin',1454206000.39,-58.9755474437,57.084144611599996,Category01,3.1909585302999997,4.57456328649,5284.74471733
1351,b'Tashi',1453052525.95,40.789518926,-130.053023472,Category03,1.8142916541,-4.0133440148699995,6493.95864514
4495,b'Nowah',1478296421.96,72.3036142859,91.8626435987,Category04,2.1209325740700002,20.1896365635,1527.71301829
9817,b'Giselly',1460945509.2,-88.5469592473,-36.9964428589,Category08,0.175836019532,11.7827776958,8587.18487775
8807,b'Aubrilyn',1475160683.64,25.6345329671,-19.742053015699998,Category09,1.27091435434,24.009340789899998,7647.26569641
3546,b'Eriss',1477508774.67,73.25483069180001,-170.093165285,Category00,3.23461674696,-1.34474230132,6677.47128295
95,b'Ambrosha',1466685330.09,-37.380505340700005,166.098070006,Category04,2.25361491031,-28.267544811100002,551.566685013
1638,b'Omotola',1454493525.33,-55.22464940890001,-27.122847615100003,Category01,3.00332144238,-11.0138061673,2551.41475977
1956,b'Jernice',1460520480.87,-57.686341367299995,21.4656709103,Category07,1.0270882550799998,7.526641531669999,411.355299788
8090,b'Ifeanyichukwu',1457276632.74,43.4587226612,-42.984812629,Category05,0.00429656760131,-12.4310109925,5167.05363177
4513,b'Mareena',1461199115.6,-54.8325026569,-24.7037221685,Category09,0.37756383740599997,-8.84104266741,475.72987105699997
6374,b'Karinn',1462400265.26,-19.6790153072,109.960228196,Category08,1.5012762015399999,8.47395274111,8147.361810699999
7067,b'Makayda',1455576186.57,-70.6423694652,35.7847150894,Category08,1.7511368833,-22.2458445095,6260.27036837
4294,b'Ardeth',1461437662.97,37.859399066,-94.66814078610001,Category08,0.337203051682,25.9160142226,9577.96133845
9453,b'Zenolia',1468197101.73,-6.78109990984,-139.68426161899998,Category06,1.76863880622,18.2058336372,571.662109793
3707,b'Learoy',1468307693.81,39.9376564028,-79.9666322955,Category00,0.250395759096,-26.9703053537,673.3276790169999
2737,b'Towanna',1478258328.11,5.628655408489999,-77.7769559333,Category05,2.1097851257499998,11.450914219500001,4342.23414364
8371,b'Rhoderick',1458214052.76,71.2387686844,170.699790884,Category03,1.19905745028,-5.046522374719999,7276.10040036
1448,b'Thao',1477704112.57,73.54029387109999,108.578362186,Category00,3.04851489345,8.39398489476,7834.31741588
9738,b'Demple',1478289867.99,-62.8256429573,96.70679008959999,Category06,0.331200584048,-28.8596267193,7813.71243222
8817,b'Karesse',1473046186.53,85.6012823952,107.184313608,Category02,1.94722535898,-18.995245551900002,2106.57018608
2974,b'Malayasia',1467275720.58,18.7622591614,-43.147237501199996,Category00,1.42488231001,25.3630654188,3648.10857614
8596,b'Khrystyna',1478087759.82,15.8280505949,-137.1395507,Category04,1.28023823234,-1.73858233025,9582.63434053
4742,b'Yuliza',1482631847.54,-37.4322701162,-19.3899059206,Category04,1.30455672486,-12.6719554241,3481.39366573
1760,b'Versel',1470351248.34,-49.2526997066,44.9067568846,Category06,0.162850201264,-29.169022868400003,8673.03428339
503,b'Eliajah',1463491287.28,-40.0935753716,76.0516558259,Category06,0.66817491611,-11.6577611983,4655.66849871
8363,b'Lavene',1464587432.1,-80.6659950908,-112.083121617,Category04,1.17447255503,28.728490064499997,4362.5153478
1526,b'Chasten',1461023400.26,65.6942005108,87.8324633224,Category06,2.4842972686800002,24.8651262715,4112.87835967
9913,b'Randie',1463847245.77,36.0081727699,37.0706936125,Category07,0.987139718898,12.2557986874,3206.67052851
4593,b'Rigdon',1464120523.72,31.557114147600004,-53.86179543390001,Category02,1.90764326025,-14.5123620405,8319.46092825
9652,b'Dekwan',1478473005.42,-44.333394561999995,99.8346516956,Category00,1.55476802611,29.6880503576,7854.47029212
3417,b'Lajae',1471406362.05,32.6389211615,-44.1375087084,Category03,0.948508062855,18.443837013,4310.84249056
3860,b'Siddhi',1476254961.23,49.9954779957,-24.1186022282,Category04,1.03176420589,9.13210404379,4815.07805134
2675,b'Loycie',1459357662.97,37.2562624046,-158.690905947,Category07,0.428879851906,-0.391645053773,7419.46124635
2445,b'Woods',1472928421.28,75.55063310850001,-99.5637058666,Category08,2.32766904891,9.55753971684,9999.3764537
6227,b'Arthas',1480028985.33,-40.0554840526,140.349604515,Category03,2.31096895243,11.576674641099999,2477.41701555
3382,b'Shanyel',1459735154.31,-7.69870327628,48.9159831449,Category09,0.00941086450941,18.9101764196,1525.13019475
3474,b'Aymee',1471992563.61,-66.7298948598,-120.238411197,Category09,3.12002011564,16.294294771,116.14741173799999
2091,b'Arianda',1467590767.91,5.0536651286300005,-17.0766610425,Category02,0.466750665633,-14.4781974375,3233.30983685
3672,b'Tytanna',1473424540.9,-61.5016207121,154.39215799,Category09,3.16196882793,-29.972072363400002,5502.53750535
3886,b'Ziyang',1460194979.17,72.0236459044,6.04352048969,Category09,3.11158639143,17.0338926059,4400.44736199
4507,b'Medgar',1458130269.92,2.7618133976599997,38.6861176285,Category02,1.45707991232,13.7766120066,7417.09958839
3532,b'Tekoah',1473829818.25,-25.561576309,-6.987280789930001,Category03,2.9221668930299995,6.668647311569999,1635.82026989
7392,b'Milaun',1471574017.25,-75.9116238092,-108.210095649,Category00,1.70536529684,29.0015675462,3663.1654189
9690,b'Hasana',1452193543.38,-6.624948041970001,-110.97214102299999,Category04,2.35151809075,13.0843575501,3809.87880302
4175,b'Myeshia',1458061660.08,-41.5253625072,-25.1894401321,Category08,2.1958667111200003,15.677460034100001,5587.82404306
5178,b'Autianna',1481009914.42,-79.6756960069,42.827518505,Category08,1.02458483945,26.245762325599998,7087.28172722
8263,b'Nazih',1479198996.15,65.07129634,-123.815339181,Category07,0.175489235997,-13.1530575026,8233.1155218
6857,b'Darmani',1452562591.24,-50.803875156400004,-164.227330512,Category04,1.46066439551,21.9249188163,105.80494083200001
4255,b'Diamonta',1452598224.33,26.385498547199997,-23.9115150933,Category04,2.02108146178,-16.1037147646,1036.33304232
2257,b'Babie',1481902789.45,0.17464736406,-85.8019654345,Category06,1.5767680647799998,29.9445202327,3925.00804955
3780,b'Thasha',1477682570.39,78.64231693800001,-119.217501635,Category02,0.729506472386,4.37695748069,5301.18784165
1278,b'Amerie',1465648813.1,-53.156001331300004,-2.9204318183599995,Category03,1.46717517975,4.885224386030001,6459.18710741
5440,b'Jsamine',1475192432.82,-14.5052507746,34.854999707800005,Category04,0.497087506848,13.0466508216,1100.68957048
3563,b'Fatmah',1456664729.96,58.517947246999995,-95.4858279119,Category01,0.40060474844800004,2.9708137086,723.385591095
1111,b'Anndi',1480090042.62,0.22566418920200002,10.0216874184,Category09,1.9136733700400002,14.130994926600001,2519.09991279
7103,b'Fayette',1459479203.5,-86.3416235941,139.096823985,Category07,1.30412256779,17.5735784724,6678.40709239
70,b'Kaius',1463277624.6,-17.2482417061,-51.1688666528,Category02,1.87132036937,7.136789514660001,6768.75239407
2311,b'Srisai',1476156706.85,-20.2357420867,19.447830467,Category04,2.9349994276399998,1.3883514359,9779.55760031
4511,b'Tsion',1480821165.14,41.1301454158,88.8098571152,Category04,0.070686858432,-17.381715143599997,9061.879121799999
4269,b'Deepthi',1465451395.14,36.1830124783,141.45779897100002,Category05,0.306949358184,17.359762940499998,1024.25898259
3274,b'Liese',1463581647.08,-62.3179244263,66.3182845132,Category06,2.4098548174900003,-1.7159965081200002,384.816754662
2406,b'Zacharee',1468646939.34,47.2727174655,-138.011710601,Category06,0.921033553035,21.168602761400003,7842.44222039
